pile_idx1,pile_idx2,pile_name1,pile_name2,term,term_idx,mds_xcoord,mds_ycoord,neighbors1,neighbors2,performances
36,7,robotic,bland,boring,11,0.6317041,-0.3843264,"[8, 31, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[5, 8, 44, 119]","[1, 2, 3, 5, 6, 8, 12, 14, 15, 18, 30, 32, 34, 35, 44, 45, 47, 48]"
43,18,weightless,ethereal,breathing,12,-0.750012,0.103631765,"[4, 32, 57, 58, 83, 98, 100, 116, 123, 148]","[4, 36, 57, 59, 83, 124, 136, 148]","[12, 43]"
27,6,loud,articulated,bright,13,0.17080548,0.013434445,"[2, 23, 67, 69, 85, 92, 118]","[1, 25, 49, 86, 118, 126]","[11, 16, 17, 18, 30, 36, 46, 49, 50]"
21,33,fast,puppies,brisk,14,0.12706684,0.6806556,"[20, 45, 51, 56, 64, 68, 70, 73, 105, 113]","[28, 32, 45, 50, 56, 64, 66, 79, 80, 84, 85, 102]","[1, 7, 41, 46, 52]"
42,24,uneven,hitting_the_piano,bumpy,15,0.57806945,0.5641933,"[0, 22, 72, 80, 132, 141, 144, 145]","[0, 20, 22, 23, 132, 141, 145]","[2, 5]"
34,31,quiet,peaceful,calm,16,-0.7209208,-0.28293285,"[59, 106, 119, 136]","[17, 58, 65, 82, 89, 90, 100, 116, 134, 147]","[6, 9, 10, 24, 33, 35, 37, 47, 49, 50]"
37,31,round,peaceful,cantabile,17,-0.7021959,-0.34645134,"[62, 82, 90, 111, 147]","[16, 58, 65, 82, 89, 90, 100, 116, 134, 147]","[36, 47, 50]"
4,12,amateur,controlled,careful,18,0.7798543,0.2043604,"[5, 115]","[24, 31, 38, 52, 130, 131]","[6, 9, 19, 31, 42]"
35,11,reflected,complex,cerebral,19,-0.12926401,-0.42302024,"[34, 101, 103, 104, 129, 137]","[29, 78, 94]","[2, 16, 39]"
21,24,fast,hitting_the_piano,chaotic,20,0.31877077,0.71980035,"[14, 45, 51, 56, 64, 68, 70, 73, 105, 113]","[0, 15, 22, 23, 132, 141, 145]","[11, 30, 40, 42]"
23,8,happy,childhood,childlike,21,-0.13170065,-0.1905362,"[7, 66, 76, 79, 102]","[46, 76, 120]","[1, 33]"
42,24,uneven,hitting_the_piano,chopped,22,0.5891424,0.57056373,"[0, 15, 72, 80, 132, 141, 144, 145]","[0, 15, 20, 23, 132, 141, 145]","[1, 2, 5, 8, 11, 27, 34, 42]"
